"","Company","Ticker","SICS","ModelID","perform:OperatingRevenue","perform:CostRevenue","position:SellingGeneralAdministrative5yCapitalization","position:PropertyPlantEquipmentGross","position:OtherIntangibleAssets","position:LeaseContractCommitments","position:Goodwill","perform:ResearchDevelopmentExpenses","perform:FCF","value:MarketCap","Firm_Efficiency","Satisfied_Constraint"
"205","Regeneron Pharmaceuticals Inc","REGN","35201010",1097353,10285,1042,4772,4206,0,5,0,3275,3061,55117.9125691452,1,"Yes"
"206","Regency Centers Corp","REG","60101040",1097354,1073,251,209,11153,253,179,321,0,660,7780.8588092172,7e-04,"Yes"
"207","Royal Caribbean Cruises Ltd","RCL","25301020",1097355,4280,4033,3808,37639,0,509,1385,0,-2882,17112.3141971102,0.0014,"Yes"
"208","Regal Beloit Corp","RBC","20104010",1097356,3053,2174,0,1523,573,62,1517,0,332,4717.50538069048,0.7309,"Yes"
"209","Ryder System  Inc.","R","20304020",1097357,8763,4261,10877,18467,34,167,321,0,68,3343.8632961,0.2807,"Yes"
"210","Qurate Retail Inc","QRTEA","25503010",1097358,14068,9127,5014,3476,4116,313,6566,0,1550,4200.98947077216,0.4376,"Yes"
"211","Qorvo Inc","QRVO","45301010",1097359,3846,1889,1366,2927,734,67,2374,571,846,17907.7688534028,0.0034,"Yes"
"212","Qiagen NV","QGEN","35201010",1097360,2202,667,1587,1317,676,37,2289,216,588,12101.5510628531,0.0013,"Yes"
"213","QUALCOMM  Inc.","QCOM","45301020",1097361,30054,12689,7334,9373,2385,222,6900,7333,7818,181221.789188947,0.8794,"Yes"
"214","Paypal Holdings Inc","PYPL","45102030",1097362,25434,11618,9047,8161,983,148,7855,2906,4336,255737.874033826,0.6789,"Yes"
"215","Pioneer Natural Resources Co","PXD","10102020",1097363,6005,3213,806,23235,0,185,262,20,1180,24082.4019499713,0.1058,"No"
"216","Quanta Services Inc","PWR","20103010",1097364,11881,10091,2757,3013,431,146,2109,0,573,10080.4476122753,0.4781,"Yes"
"217","PVH Corp","PVH","25203010",1097365,7162,3375,12799,4282,3495,1045,3693,0,-160,6866.41364864,0.1396,"Yes"
"218","Patterson-UTI Energy  Inc.","PTEN","10101010",1097366,1069,824,341,8198,52,35,420,0,123,1060.72679864582,4e-04,"No"
"219","PTC Inc","PTC","45103020",1097367,1578,313,1665,466,178,249,1298,274,372,13263.0844529492,6e-04,"Yes"
"220","Phillips 66","PSX","10102030",1097368,81585,63645,7452,40582,869,919,3270,40,610,76539.0397575168,1,"No"
"221","Public Storage","PSA","60101080",1097369,2975,861,253,16730,31,77,174,0,1674,38185.6188860165,0.0123,"Yes"
"222","Perrigo Company PLC","PRGO","35202010",1097370,5219,3153,3610,0,2160,96,3095,198,719,6710.7839016036,0.0797,"Yes"
"223","PPG Industries  Inc.","PPG","15101010",1097371,14786,8325,10344,7927,2118,441,4444,386,1662,33697.8554685373,0.3952,"Yes"
"224","Pilgrim's Pride Corporation","PPC","30202030",1097372,12621,11485,1183,5836,657,221,1074,5,447,5052.24657605218,0.5279,"Yes"
"225","Post Holdings Inc","POST","30202030",1097373,5753,3931,2714,3158,4362,189,5748,25,698,6295.75430041077,0.0995,"Yes"
"226","Pool Corporation","POOL","25202010",1097374,4173,2966,1759,463,11,129,190,0,322,13431.763404728,0.003,"Yes"
"227","Pentair PLC","PNR","20106020",1097375,3101,1963,1544,868,115,45,767,81,435,8443.66682309472,0.0022,"Yes"
"228","Philip Morris International Inc.","PM","30203010",1097376,30917,10128,22064,15438,2113,638,5858,451,9841,133259.217477799,0.7985,"Yes"
"229","Prologis Inc","PLD","60101040",1097377,4077,885,732,35224,314,450,0,0,2832,85895.0139577577,0.0067,"Yes"
"230","PerkinElmer  Inc.","PKI","35101010",1097378,4019,1747,2400,927,1588,96,3850,229,899,15587.6350568804,0.0021,"Yes"
"231","Packaging Corp Of America","PKG","15103020",1097379,6976,5427,1633,7734,366,200,993,16,685,12697.0058473784,0.2222,"Yes"
"232","Premier Inc","PINC","35102015",1097380,1405,604,1305,717,432,0,975,2,427,4549.312826173,5e-04,"Yes"
"233","Polaris Inc","PII","25202010",1097381,7332,5494,2594,2420,1410,129,1048,309,593,6025.55850796079,0.247,"Yes"
"234","Paramount Group Inc","PGRE","60101040",1097382,693,261,188,7203,270,5266,0,0,434,2565.78703886704,0,"Yes"
"235","Procter & Gamble Co","PG","30302010",1097383,74275,35852,57382,46301,24174,605,40542,1899,15463,353320.72822926,1,"Yes"
"236","Norwegian Cruise Line Holdings Ltd","NCLH","25301020",1097384,2264,2180,2277,15065,846,126,1388,0,-1139,7080.67911464351,9e-04,"Yes"
"237","Cardinal Health Inc","CAH","30101010",1097387,161192,154100,13153,5757,3348,423,9589,0,2104,16250.5867755,0.9833,"Yes"
"238","Conagra Brands Inc","CAG","30202030",1097388,10919,7724,3574,5399,4706,207,12470,54,1529,17505.40825908,0.35,"Yes"
"239","Credit Acceptance Corp.","CACC","40202010",1097389,1707,0,584,150,0,4,0,0,530,5934.63986279409,0.002,"Yes"
"240","Cable One Inc","CABO","50201020",1097390,1385,416,700,3030,1314,5,237,0,337,13047.6822621042,9e-04,"Yes"
"241","Boston Properties  Inc.","BXP","60101040",1097391,2819,1057,386,21021,0,634,0,0,1460,15432.4440735286,0.0075,"Yes"
"242","BWX Technologies Inc","BWXT","20101010",1097392,2154,1553,665,1496,306,10,367,19,186,5921.70021306042,0.0029,"Yes"
"243","Burlington Stores Inc","BURL","25503020",1097393,5526,3418,5970,5162,238,768,47,0,7,15397.062211314,0.1239,"Yes"
"244","Boston Scientific Corporation","BSX","35101010",1097394,11682,3276,11263,5370,7528,342,9346,1276,1995,49090.5751188664,0.2227,"Yes"
"245","Brixmor Property Group Inc","BRX","60101040",1097395,1091,303,305,8728,0,77,0,0,465,4269.32413241814,6e-04,"Yes"
"246","Brown & Brown  Inc.","BRO","40301030",1097396,2785,0,3686,369,1098,211,4194,0,668,12524.7052613247,8e-04,"Yes"
"247","Bruker Corporation","BRKR","35101010",1097397,2151,1078,1404,904,317,4,400,193,191,8377.17730128739,0.0014,"Yes"
"248","Broadridge Financial Solutions  Inc.","BR","20202020",1097398,4688,3365,1724,884,610,232,1750,0,809,16639.3300788,0.0072,"Yes"
"249","Bristol-Myers Squibb Co","BMY","35202010",1097399,45946,9120,16034,7937,1036,833,6213,8526,18899,137411.825965084,1,"Yes"
"250","BioMarin Pharmaceutical Inc.","BMRN","35202010",1097401,1929,398,1857,1726,350,80,140,723,184,15361.4647861081,8e-04,"Yes"
"251","Ball Corporation","BLL","15103010",1097402,12593,10178,1504,8274,2095,282,4285,47,670,30644.3542793527,0.4688,"Yes"
"252","BlackRock  Inc.","BLK","40203010",1097403,17031,3011,18725,1799,18445,4,13985,0,5930,106166.749781204,1,"Yes"
"253","Bio-Rad Laboratories  Inc.","BIO","35101020",1097404,2541,1100,2433,1495,117,92,193,204,306,16593.9490227476,0.001,"Yes"
"254","Biogen Inc","BIIB","35202010",1097405,11211,1586,6724,4668,3120,470,5706,2179,4563,36351.9765224786,0.3055,"Yes"
"255","Bunge Ltd","BG","30202030",1097406,41011,38398,4065,9855,809,389,844,0,934,9481.74537425852,0.8668,"Yes"
"256","Brown-Forman Corporation","BF.B","30201020",1097407,3415,1340,3189,1717,637,49,758,0,829,35522.5999663035,0.0012,"Yes"
"257","Berry Global Group Inc","BERY","15103010",1097408,12028,9498,1862,6415,3277,393,7201,66,1193,7229.91919610421,0.4497,"Yes"
"258","Franklin Resources  Inc.","BEN","40203010",1097409,7370,0,12499,2029,1006,74,2481,0,1939,12127.3780257814,0.364,"Yes"
"259","Becton Dickinson and Co","BDX","35101020",1097410,19121,8461,11874,12497,18783,546,29315,1138,4163,71089.6103663944,0.3984,"Yes"
"260","Brandywine Realty Trust","BDN","60101040",1097411,516,196,92,3546,131,59,0,0,207,2007.27686667705,0,"Yes"
"261","Brunswick Corporation","BC","25202010",1097412,4807,3452,1533,2063,863,95,556,139,421,5943.19947979428,0.0251,"Yes"
"262","Best Buy Co Inc","BBY","25504020",1097413,47542,36916,23710,11937,399,867,1031,0,2297,26869.08170639,0.8724,"Yes"
"263","Baxter International Inc","BAX","35101020",1097414,12132,6760,7172,11940,1609,626,3427,530,1958,40517.5863294215,0.3235,"Yes"
"264","Booz Allen Hamilton Holding Corporation","BAH","45102010",1097415,8110,3750,2778,720,301,267,1584,0,581,12061.1071774003,0.4505,"Yes"
"265","Boeing Co","BA","20101010",1097416,77642,67991,11394,33865,3838,1212,8777,3006,-11342,139938.745317,0.7674,"Yes"
"266","AutoZone  Inc.","AZO","25504050",1097417,13087,6093,11651,0,0,0,0,0,1830,26232.3930236445,1,"Yes"
"267","Acuity Brands  Inc.","AYI","20102010",1097418,3263,1903,2709,866,652,53,1163,80,381,4458.11694372,0.0014,"Yes"
"268","Axalta Coating Systems Ltd","AXTA","15101010",1097419,4229,2646,2309,2319,1464,112,1337,64,545,6807.4903836225,0.0023,"Yes"
"269","American Express Company","AXP","40202010",1097420,40551,11427,44951,13648,312,590,3494,0,3078,96277.4738549741,1,"Yes"
"270","Armstrong World Industries Inc","AWI","20102010",1097421,982,646,496,718,365,22,16,14,226,3783.54505533563,0,"Yes"
"271","Avery Dennison Corp","AVY","15103010",1097422,7117,5101,2937,3548,268,195,905,90,673,12581.4971879974,0.2533,"Yes"
"272","Avnet  Inc.","AVT","45203010",1097423,17518,15500,5544,1618,61,208,724,0,340,3100.8151646736,0.7043,"Yes"
"273","AvalonBay Communities Inc","AVB","60101060",1097424,2278,722,163,18814,0,504,0,0,1188,21099.3876308201,0.0121,"Yes"
"274","Activision Blizzard  Inc.","ATVI","45102030",1097425,8337,2006,5794,0,751,150,9166,1175,2891,65242.1516674163,0.2916,"Yes"
"275","AptarGroup  Inc.","ATR","15103010",1097426,3105,2023,1283,3436,304,110,850,89,255,8626.52572662656,0.0027,"Yes"
"276","Arrow Electronics  Inc.","ARW","45203010",1097427,29433,26187,6449,1746,398,368,2804,0,548,7173.4153790847,0.773,"Yes"
"277","Mondelez International Inc","MDLZ","30202030",1097429,27437,16473,16756,15637,18136,575,20879,370,4477,81267.0526253173,0.5564,"Yes"
"278","MEDNAX Inc","MD","35102015",1097430,1850,0,7493,367,291,57,2882,0,221,1937.35572136847,2e-04,"Yes"
"279","Moody's Corporation","MCO","20202020",1097431,5413,1504,3356,1295,2040,562,4925,0,2337,51267.290208482,0.0831,"Yes"
"280","McKesson Corporation","MCK","30101010",1097432,239042,227042,25125,6080,3211,1321,9525,99,3187,28851.1027168,1,"Yes"
"281","Microchip Technology Inc.","MCHP","45301020",1097433,5346,2016,1754,3085,6819,124,7969,870,1856,36979.4344143,0.0696,"Yes"
"282","Mcdonald's Corp","MCD","25301040",1097434,21974,9980,7747,34480,0,13158,1994,0,6456,155254.133009083,0.7054,"Yes"
"283","Mattel Inc","MAT","25202010",1097435,4739,2409,5007,2500,561,496,1323,192,374,5862.74187934405,0.0102,"Yes"
"284","Masco Corp","MAS","20102010",1097436,7359,4703,3486,1477,389,240,668,0,1069,14018.0371130742,0.3367,"Yes"
"285","Marriott International Inc","MAR","25301020",1097437,14177,11459,2315,4117,8023,879,8654,0,1117,39534.1261997527,0.5229,"Yes"
"286","Manhattan Associates  Inc.","MANH","45102010",1097438,606,278,333,68,0,0,62,89,80,6495.23182829964,0,"Yes"
"287","ManpowerGroup Inc.","MAN","20202010",1097439,19094,16039,7825,631,258,322,1360,0,262,5235.55960224093,0.6923,"Yes"
"288","Mid-America Apartment Communities Inc","MAA","60101060",1097440,1723,702,148,13639,3,82,0,0,843,13920.9802447237,0.0078,"Yes"
"289","Mastercard Inc","MA","45102030",1097441,18203,0,18577,2424,1246,435,3652,0,8719,327753.112149557,1,"Yes"
"290","Macy's Inc","M","25504040",1097442,17053,11463,26558,13705,439,1492,3908,0,132,3562.3876626,0.3715,"Yes"
"291","JetBlue Airways Corporation","JBLU","20302010",1097444,5366,1788,8198,12119,0,321,0,0,-440,3023.43318547816,0.1009,"Yes"
"292","WEX Inc","WEX","20201070",1097446,1718,696,1385,730,1365,92,2419,0,560,8568.86804412201,9e-04,"Yes"
"293","Wendys Co","WEN","25301040",1097447,1799,590,1858,1771,1244,1580,719,0,301,4992.0541199954,7e-04,"Yes"
"294","Western Digital Corp","WDC","45202030",1097448,15771,11623,3867,11079,943,194,10096,1964,1567,15800.1093874,0.4333,"Yes"
"295","Workday Inc","WDAY","45103020",1097449,4302,995,3466,1783,389,230,2170,1673,2875,38091.2833824285,0.0016,"Yes"
"296","WESCO International  Inc.","WCC","20104010",1097450,16784,13496,4023,503,289,184,1774,0,-164,3721.81438896194,0.6962,"Yes"
"297","Walgreens Boots Alliance Inc","WBA","30101010",1097452,143166,114876,69584,47521,11119,8610,15788,0,4844,36206.9221024,0.8283,"Yes"
"298","Waters Corporation","WAT","35101010",1097453,2443,1041,1575,1129,182,92,263,146,549,14834.8837079979,0.0015,"Yes"
"299","Westinghouse Air Brake Technologies Corp","WAB","20106010",1097454,7960,5519,2475,1380,1466,238,3110,189,472,14140.490980386,0.2712,"Yes"
"300","Verizon Communications Inc.","VZ","50101020",1097455,133025,53396,88422,279036,103446,24174,24505,0,22612,251414.545578116,1,"Yes"
"301","Ventas  Inc.","VTR","60101080",1097456,3764,1968,488,25486,5,725,1050,0,1348,16843.1707841723,0.009,"Yes"
"302","Verisign  Inc.","VRSN","45102010",1097457,1349,184,632,787,0,0,52,74,771,23810.8935791301,0.001,"Yes"
"303","Verisk Analytics  Inc.","VRSK","45102010",1097458,2969,1078,1327,1480,1388,342,3801,64,1092,31390.5852496857,0.0024,"Yes"
"304","Vornado Realty Trust","VNO","60101040",1097459,1584,0,490,16555,136,1889,0,0,0,8225.2125332608,0.002,"Yes"
"305","VMware  Inc.","VMW","45102010",1097460,11707,1716,9788,3604,1298,291,10339,2508,3727,59773.097561724,0.2536,"Yes"
"306","Valmont Industries  Inc.","VMI","20103010",1097461,2973,2179,1376,1326,210,141,459,14,189,3677.82887599842,0.0024,"Yes"
"307","Vulcan Materials Company","VMC","15102010",1097462,4892,3607,1027,9220,1245,286,3599,0,762,17760.4088429022,0.0274,"Yes"
"308","Valero Energy Corporation","VLO","10102030",1097463,75352,73959,2257,45648,0,1098,0,0,-472,24676.8729462,1,"No"
"309","VF Corp","VFC","25203010",1097465,9146,4245,10872,3197,2067,810,1144,0,505,32181.219780864,0.3447,"Yes"
"310","Vereit Inc","VER","60101040",1097466,1191,131,185,15604,0,71,1337,0,1087,7535.9567735,0.0018,"Yes"
"311","Veeva Systems Inc","VEEV","35101010",1097467,1448,369,694,129,134,0,438,267,465,40245.039447822,0.0011,"Yes"
"312","Varian Medical Systems  Inc.","VAR","35101010",1097469,3530,2001,1758,936,398,0,811,265,444,15866.8219352058,0.0024,"Yes"
"313","Visa Inc","V","45102030",1097470,23137,4359,7919,8101,27273,619,15944,0,12652,453289.254900763,1,"Yes"
"314","United Therapeutics Corporation","UTHR","35201010",1097472,1475,113,954,924,139,3,31,386,535,5810.6572234927,9e-04,"Yes"
"315","United States Cellular Corp","USM","50102010",1097473,4121,1823,4223,8510,2168,1239,0,0,175,2698.12240607448,0.0012,"Yes"
"316","US Foods Holding Corp","USFD","30101030",1097475,26439,21889,11206,4452,338,128,4139,0,231,7310.87018337852,0.6985,"Yes"
"317","Stryker Corporation","SYK","35101020",1097476,16473,5592,14079,6331,5556,221,11428,1065,2975,89085.6735218714,0.3505,"Yes"
"318","Parker-Hannifin Corp","PH","20106020",1097477,13368,9837,4726,5949,4153,130,8604,272,2071,35676.7717349255,0.3773,"Yes"
"319","NCR Corporation","NCR","45102010",1097478,6536,4698,2640,908,640,383,2897,234,740,4793.94325258798,0.1631,"Yes"
"320","Macerich Co","MAC","60101040",1097479,762,275,66,8821,131,94,0,0,497,1314.22862383968,0,"Yes"
"321","Jacobs Engineering Group Inc","J","20103010",1097480,14052,10681,4893,0,778,287,6512,0,835,14330.6500972725,0.9618,"Yes"
"322","Welltower Inc","WELL","60101080",1097481,4505,2502,486,33000,0,1138,25,0,1585,28073.3938266592,0.0113,"Yes"
"323","Extra Space Storage  Inc.","EXR","60101080",1097482,1192,264,294,8754,0,151,0,0,847,15857.2247315591,0.0012,"Yes"
"324","Dollar General Corp.","DG","25503020",1097483,33627,22971,16578,14894,1200,2345,4338,0,2143,51374.8901319255,0.6665,"Yes"
"325","Church & Dwight Co.  Inc.","CHD","30301010",1097484,5110,2766,3138,1591,2830,67,2481,108,890,21357.3708700659,0.0507,"Yes"
"326","Synopsys  Inc.","SNPS","45103020",1097485,4027,781,2524,509,360,44,3143,1176,1145,36770.0156995258,0.002,"Yes"
"327","Snap-on Incorporated","SNA","20106020",1097487,3648,1826,141,1535,238,55,922,52,605,9792.59033583745,0.0301,"Yes"
"328","Scotts Miracle-Gro Co","SMG","15101030",1097488,4293,2906,1393,1272,816,151,622,52,569,10649.4493399256,0.0039,"Yes"
"329","SLM Corp","SLM","40202010",1097490,1458,138,533,170,0,39,0,0,0,4018.60099037722,0.0015,"Yes"
"330","Silgan Holdings Inc.","SLGN","15103010",1097491,5059,4080,987,4245,516,180,1546,0,429,3886.58454676846,0.0537,"Yes"
"331","SL Green Realty Corp","SLG","60101040",1097492,780,326,269,2900,25,838,0,0,314,3857.17665925475,0,"Yes"
"332","Schlumberger NV","SLB","10101020",1097493,21178,17591,1568,41619,9089,564,25965,459,2778,33049.9713840212,0.4729,"No"
"333","Skechers USA Inc","SKX","25203020",1097494,5590,2894,5540,1823,0,2805,0,18,124,5562.1410365267,0.1332,"Yes"
"334","J M Smucker Co","SJM","30202030",1097495,7833,4848,4193,4248,6534,150,6407,58,1171,13195.76433966,0.2002,"Yes"
"335","Six Flags Entertainment Corp","SIX","25301030",1097496,900,81,497,2542,347,166,664,0,72,2695.62269056669,0,"Yes"
"336","Sirius XM Holdings Inc","SIRI","50201020",1097497,8330,3710,4931,4231,3393,418,3761,286,2266,27282.661509527,0.2455,"Yes"
"337","Sherwin-Williams Co","SHW","15101010",1097498,19111,10041,15116,6230,4513,956,6677,104,2627,64986.7581570567,0.4648,"Yes"
"338","Seagen Inc","SGEN","35201010",1097499,1792,70,1063,408,476,0,436,1149,299,48896.6760533271,0.0013,"Yes"
"339","Sprouts Farmers Market Inc","SFM","30101030",1097500,6439,4147,4656,2391,185,124,368,0,195,2334.54195575218,0.2414,"Yes"
"340","Servicemaster Global Holdings Inc","SERV","20201070",1097501,2045,1195,1680,690,1992,101,2535,0,300,6309.9212027665,0.001,"Yes"
"341","SEI Investments Company","SEIC","40203010",1097502,1772,293,2461,696,246,0,49,0,404,8115.9623953672,5e-04,"Yes"
"342","Sealed Air Corp","SEE","15103010",1097503,5021,3383,2438,3873,157,67,1919,75,669,7206.86896175094,0.0409,"Yes"
"343","Service Corporation International","SCI","25302020",1097504,3391,2551,366,6173,427,6,1849,0,618,8548.94937779936,0.0106,"Yes"
"344","Charles Schwab Corp","SCHW","40203020",1097505,15361,1250,14156,5420,128,650,1227,0,9851,91285.845241932,1,"Yes"
"345","Starbucks Corporation","SBUX","25301040",1097507,28530,20284,5093,17060,856,4103,3823,0,4432,121989.179136873,0.7359,"Yes"
"346","SBA Communications Corporation","SBAC","60101080",1097508,2194,626,525,8916,4109,1540,0,0,1398,31154.9734645207,0.0037,"Yes"
"347","Echostar Corporation","SATS","45201020",1097509,2084,892,1382,4769,29,96,506,29,175,2444.4918696,0.0013,"Yes"
"348","Sabre Corp","SABR","45103020",1097510,2456,2144,1331,2554,586,64,2692,0,153,3172.57876077394,0.0018,"Yes"
"349","Rayonier Inc.","RYN","60101080",1097512,805,672,119,2532,0,74,0,0,249,4801.41737094843,0,"Yes"
"350","Republic Services  Inc.","RSG","20201050",1097514,10718,6418,3330,19153,138,147,12040,0,1491,30044.9211344997,0.3359,"Yes"
"351","Reliance Steel & Aluminum Co","RS","15104050",1097515,9285,6608,5748,3894,1075,168,2089,0,459,7759.93426140817,0.3347,"Yes"
"352","Live Nation Entertainment  Inc.","LYV","50202010",1097516,7451,5488,5946,4009,1056,699,1704,0,290,17532.2100006346,0.22,"Yes"
"353","LyondellBasell Industries NV","LYB","15101010",1097517,30484,25960,3599,25154,929,934,2022,97,1702,28226.5501149509,0.6773,"Yes"
"354","Las Vegas Sands Corp.","LVS","25301010",1097518,10130,5539,4554,26284,42,288,0,19,1995,37278.7431517274,0.2998,"Yes"
"355","Southwest Airlines Co","LUV","20302010",1097519,15221,0,25251,28734,296,308,970,0,0,26308.370088,0.7616,"Yes"
"356","Lululemon Athletica Inc","LULU","25203010",1097520,4206,1866,3206,1883,0,0,24,0,544,48749.6298600025,0.0016,"Yes"
"357","Landstar System  Inc.","LSTR","20304020",1097521,4517,3807,781,586,0,1,38,0,240,5243.28275614121,0.0074,"Yes"
"358","Life Storage Inc","LSI","60101080",1097522,643,226,145,4749,21,25,0,0,411,5595.21861748359,0,"Yes"
"359","Lam Research Corporation","LRCX","45301010",1097523,12994,6931,2094,2328,170,138,1504,1557,2740,71195.47532951,0.578,"Yes"
"360","LPL Financial Holdings Inc","LPLA","40203020",1097525,6509,79,12901,1212,411,112,1407,0,653,7771.12506439968,0.3875,"Yes"
"361","Lowe`s Companies Inc","LOW","25504030",1097526,88346,59112,45562,39836,0,3339,305,0,6190,120542.6577664,1,"Yes"
"362","Cheniere Energy  Inc.","LNG","10102040",1097527,11333,5888,1811,32524,0,420,77,0,4081,15405.7064107282,0.3583,"No"
"363","Lockheed Martin Corporation","LMT","20101010",1097528,68076,58845,0,19049,3213,508,10604,1487,7685,99578.7359996084,1,"Yes"
"364","Eli Lilly and Co","LLY","35202010",1097530,27226,5420,18909,19553,8678,351,4824,6233,6900,145887.525588846,0.6858,"Yes"
"365","LKQ Corporation","LKQ","25101010",1097531,12232,7366,9688,3622,965,692,5001,0,781,10901.716925226,0.3568,"Yes"
"366","Lennox International Inc.","LII","20104010",1097532,3798,2675,1631,1394,0,109,150,68,395,10558.5457518979,0.0028,"Yes"
"367","Laboratory Corp. of America Holdings","LH","35102015",1097533,13949,9527,4808,4692,4482,609,8738,0,2120,21249.255371363,0.4238,"Yes"
"368","Lennar Corporation","LEN","25201030",1097534,24941,19035,1624,763,0,105,4331,0,871,22174.8779613263,1,"Yes"
"369","Leggett & Platt  Inc.","LEG","25201020",1097535,4677,3639,1321,2570,966,127,1778,0,430,5797.14854225644,0.0057,"Yes"
"370","Lincoln Electric Holdings  Inc.","LECO","20106020",1097536,2845,1888,1521,1473,213,32,404,53,298,7044.96513951527,0.002,"Yes"
